Genome assembly,Cell type class,Cell type,Number of experiments,Experimental IDs included
hg19,Blood,KARPAS-422,54,"ERX297423,ERX297425,ERX297426,ERX297430,ERX297437,ERX297444,ERX297451,ERX337094,SRX1048471,SRX1048472,SRX1258040,SRX1258041,SRX1258042,SRX188593,SRX188594,SRX2156861,SRX2156862,SRX2156903,SRX2156904,SRX2156917,SRX2156918,SRX2156969,SRX2156970,SRX2157043,SRX2157044,SRX2157053,SRX2157054,SRX2157055,SRX2157064,SRX2157065,SRX2157066,SRX2157067,SRX2157068,SRX2157069,SRX2630147,SRX2630148,SRX2630266,SRX2630267,SRX2635794,SRX2635795,SRX2635910,SRX2635911,SRX2636068,SRX2636069,SRX2636413,SRX2636414,SRX722007,SRX722008,SRX764384,SRX764385,SRX764386,SRX764387,SRX764388,SRX764389"
hg19,Blood,KBM-7,6,"SRX2370654,SRX2370655,SRX2370656,SRX2370657,SRX669121,SRX669122"
hg19,Blood,KG-1a,20,"SRX2705423,SRX2705424,SRX2705444,SRX2705445,SRX2705456,SRX2705457,SRX2705458,SRX2705459,SRX2705466,SRX2705467,SRX2705470,SRX2705471,SRX2705479,SRX2705480,SRX2705481,SRX2705482,SRX2705489,SRX2705490,SRX2705493,SRX2705494"
hg19,Blood,KMS-11,27,"SRX063287,SRX063288,SRX063289,SRX2635904,SRX2635905,SRX2635923,SRX2635924,SRX2635961,SRX2635962,SRX2636240,SRX2636241,SRX2636312,SRX2636313,SRX2636356,SRX2636357,SRX2636419,SRX2636420,SRX2636509,SRX2636510,SRX2636527,SRX2636528,SRX2636595,SRX2636596,SRX2636605,SRX2636606,SRX3322542,SRX3322543"
hg19,Blood,KOPN-8,2,"SRX1873467,SRX1873468"
hg19,Blood,KOPT-K1,25,"SRX2166004,SRX2170312,SRX2630376,SRX2630377,SRX2630378,SRX2635896,SRX2635897,SRX2636269,SRX2636270,SRX2636425,SRX2636426,SRX448939,SRX448940,SRX448941,SRX448942,SRX448943,SRX448944,SRX448945,SRX448946,SRX448947,SRX448948,SRX448949,SRX448950,SRX448951,SRX448952"
hg19,Blood,KU812,61,"ERX1103214,ERX1103217,ERX1103219,ERX1103221,ERX1103224,ERX1103230,ERX1103231,ERX1126168,ERX1126171,ERX1126173,ERX1126175,ERX1126178,ERX1126184,ERX1126185,ERX1126193,ERX1126196,ERX1126198,ERX1126200,ERX1126203,ERX1126209,ERX1126210,ERX1126218,ERX1126221,ERX1126223,ERX1126225,ERX1126228,ERX1126234,ERX1126235,ERX1126243,ERX1126246,ERX1126248,ERX1126250,ERX1126253,ERX1126259,ERX1126260,ERX1149054,ERX1149055,ERX1149056,ERX1149062,ERX1149069,ERX1149070,ERX1149071,ERX1149077,ERX1149084,ERX1149085,ERX1149086,ERX1149092,ERX1149099,ERX1149100,ERX1149101,ERX1149107,ERX1149114,ERX1149115,ERX1149116,ERX1149122,ERX1276021,ERX1276022,ERX1276039,ERX1276040,ERX1276057,ERX1276058"
hg19,Blood,Kasumi-1,86,"SRX026634,SRX026635,SRX026636,SRX026637,SRX062335,SRX062336,SRX062337,SRX062338,SRX062340,SRX062341,SRX062342,SRX062343,SRX062344,SRX062349,SRX112544,SRX112545,SRX1133785,SRX1133786,SRX1133787,SRX1133788,SRX1133789,SRX1133790,SRX1133791,SRX1133792,SRX1133793,SRX1304574,SRX1514276,SRX1514277,SRX1514278,SRX1514279,SRX1514280,SRX1514281,SRX1514282,SRX1514283,SRX1514284,SRX1514285,SRX1514286,SRX1514287,SRX1514288,SRX1514291,SRX1653203,SRX1653204,SRX1653205,SRX1653206,SRX1756592,SRX1756593,SRX236112,SRX236113,SRX236114,SRX236115,SRX236116,SRX236117,SRX236118,SRX259611,SRX259612,SRX259613,SRX259614,SRX259615,SRX259616,SRX259617,SRX259618,SRX259619,SRX259620,SRX259621,SRX259622,SRX669878,SRX669879,SRX698184,SRX698185,SRX698186,SRX698187,SRX698188,SRX698189,SRX747571,SRX747572,SRX747573,SRX747574,SRX747575,SRX747576,SRX747577,SRX763969,SRX763970,SRX858323,SRX858324,SRX858325,SRX858326"
hg19,Blood,Kasumi-3,3,"SRX1974321,SRX1974323,SRX1974324"
hg19,Blood,"Killer Cells, Natural",5,"SRX1549370,SRX1549371,SRX1549372,SRX1549373,SRX1549374"
hg19,Blood,L-1236,15,"SRX367993,SRX790965,SRX790966,SRX790967,SRX790968,SRX790969,SRX790970,SRX790971,SRX790972,SRX790973,SRX790974,SRX790975,SRX790976,SRX790977,SRX790978"
hg19,Blood,L-428,5,"SRX243764,SRX243765,SRX243770,SRX243771,SRX367994"
hg19,Blood,L-591,1,SRX367995
hg19,Blood,L1-S8,2,"SRX2370631,SRX2370632"
hg19,Blood,L1-S8R,2,"SRX2370752,SRX2370753"
hg19,Blood,LP-1,18,"SRX1140810,SRX1140811,SRX1140812,SRX1140813,SRX1140814,SRX1140815,SRX1140816,SRX1140817,SRX1460238,SRX1460239,SRX1460240,SRX1460241,SRX1460242,SRX620445,SRX620446,SRX620447,SRX620448,SRX620449"
hg19,Blood,"Leukemia, Megakaryoblastic, Acute",15,"ERX1305842,ERX1305843,ERX1305844,ERX1305847,ERX1305848,ERX1305849,ERX1305850,ERX1305851,ERX1305852,ERX1305853,ERX1305854,ERX1305855,ERX1305856,ERX1305857,ERX1305858"
hg19,Blood,"Leukemia, Myeloid",243,"SRX014753,SRX014754,SRX014762,SRX014763,SRX014764,SRX014765,SRX014773,SRX014774,SRX026641,SRX026642,SRX026643,SRX026644,SRX026645,SRX026646,SRX026647,SRX026648,SRX026649,SRX026650,SRX026651,SRX026652,SRX026657,SRX080043,SRX080044,SRX1032965,SRX1032966,SRX1032967,SRX1036364,SRX112546,SRX112547,SRX112548,SRX112549,SRX1135995,SRX1136007,SRX1136008,SRX1136009,SRX1136013,SRX1136015,SRX1136016,SRX1136021,SRX1136022,SRX1136023,SRX1136024,SRX1136025,SRX1136027,SRX1136028,SRX1136029,SRX1136030,SRX1136031,SRX1136032,SRX1136033,SRX1136034,SRX1136035,SRX1136036,SRX1761293,SRX1761294,SRX1761295,SRX1761296,SRX1761297,SRX1761298,SRX1761299,SRX1761300,SRX1761301,SRX1761302,SRX1761303,SRX203057,SRX203058,SRX203059,SRX265235,SRX265236,SRX2713346,SRX2713347,SRX2713348,SRX2713349,SRX2713350,SRX2713351,SRX2713352,SRX2713353,SRX2713359,SRX2713360,SRX2713361,SRX2713362,SRX2713363,SRX2713364,SRX2713365,SRX2713366,SRX2713367,SRX2713368,SRX2713369,SRX2713370,SRX2713371,SRX2713372,SRX2713373,SRX2713374,SRX2713375,SRX2713376,SRX2713377,SRX2713378,SRX2713379,SRX2713380,SRX2713381,SRX2713382,SRX2713383,SRX2713384,SRX2713385,SRX2713386,SRX2713387,SRX2713388,SRX2713389,SRX2713390,SRX2713391,SRX2713392,SRX2713393,SRX2713394,SRX2713395,SRX2713396,SRX2713397,SRX2713398,SRX2713399,SRX2713400,SRX2713401,SRX2713402,SRX2713403,SRX2713404,SRX2713405,SRX2713406,SRX2713407,SRX2713408,SRX2713409,SRX2713410,SRX2713411,SRX2713412,SRX2713413,SRX2713414,SRX2713415,SRX2713416,SRX2713417,SRX2713418,SRX2713419,SRX2713420,SRX2713426,SRX2713427,SRX2713428,SRX2713429,SRX2713430,SRX2713431,SRX2713432,SRX2713433,SRX2713434,SRX2713435,SRX2713436,SRX2713437,SRX2713438,SRX2713439,SRX2713440,SRX2713441,SRX2713442,SRX2713443,SRX2713444,SRX2713445,SRX2713446,SRX2713447,SRX2713448,SRX2713449,SRX2713450,SRX2713451,SRX2713452,SRX2713453,SRX2713454,SRX2713455,SRX2713456,SRX2713457,SRX2713458,SRX2713459,SRX2713460,SRX2713461,SRX2713462,SRX2713463,SRX2713464,SRX2713465,SRX2713466,SRX2713467,SRX2713468,SRX2713469,SRX2713470,SRX2713471,SRX2713472,SRX2713473,SRX2713474,SRX2713475,SRX2713476,SRX2713477,SRX2713478,SRX2713479,SRX2713480,SRX2713481,SRX2713482,SRX2713483,SRX2713484,SRX2713485,SRX2713486,SRX2713487,SRX838175,SRX838176,SRX838177,SRX838178,SRX838179,SRX838180,SRX838181,SRX838182,SRX838183,SRX838184,SRX838185,SRX838186,SRX838187,SRX838188,SRX838189,SRX838190,SRX838202,SRX879207,SRX879211,SRX879212,SRX879213,SRX879214,SRX879215,SRX879216,SRX879217,SRX879218,SRX879219,SRX879220,SRX879222,SRX879223,SRX879224,SRX879225,SRX879226,SRX879227,SRX879228,SRX879229,SRX879230,SRX879231,SRX879232,SRX879233,SRX879234,SRX879235"
hg19,Blood,Leukemic blast cell,4,"SRX061973,SRX099357,SRX1122118,SRX1122119"
hg19,Blood,Loucy,35,"SRX1527576,SRX1527577,SRX1528528,SRX2166005,SRX2512638,SRX2512642,SRX2630130,SRX2630131,SRX2630290,SRX2630291,SRX2630292,SRX2630293,SRX2630312,SRX2630313,SRX2630394,SRX2630395,SRX2635875,SRX2635876,SRX2636029,SRX2636030,SRX2636111,SRX2636112,SRX2636136,SRX2636137,SRX2636157,SRX2636158,SRX2636159,SRX2636299,SRX2636300,SRX2636361,SRX2636362,SRX2636450,SRX2636451,SRX2636464,SRX2636465"
hg19,Blood,Lymph node metastasis,1,SRX861687
hg19,Blood,Lymphoblastoid cell line,688,"ERX329611,ERX329612,ERX329613,ERX329614,ERX329615,ERX329616,ERX329617,ERX329618,ERX329619,ERX329620,ERX329621,ERX329622,ERX329623,ERX329624,ERX329625,ERX329626,ERX329627,ERX329628,ERX329629,ERX329630,ERX329631,ERX329632,ERX329633,ERX329634,ERX329635,ERX329636,ERX329637,ERX329638,ERX329639,ERX329640,ERX329641,ERX329642,ERX329643,ERX329644,ERX329645,ERX329646,ERX329647,ERX329648,ERX329649,ERX329650,ERX329651,ERX329652,ERX329653,ERX329654,ERX329655,ERX329656,ERX329657,ERX329658,ERX329659,ERX329660,ERX329661,ERX329662,ERX329663,ERX329664,ERX329665,ERX329666,ERX329667,ERX329668,ERX329669,ERX329670,ERX329671,ERX329672,ERX329673,ERX329674,ERX329675,ERX329676,ERX329677,ERX329678,ERX329679,ERX329680,ERX329681,ERX329682,ERX329683,ERX329684,ERX329685,ERX329686,ERX329687,ERX329688,ERX329689,ERX329690,ERX329691,ERX329692,ERX329693,ERX329694,ERX329695,ERX329696,ERX329697,ERX329698,ERX329699,ERX329700,ERX329701,ERX329702,ERX329703,ERX329704,ERX329705,ERX329706,ERX329707,ERX329708,ERX329709,ERX329710,ERX329711,ERX329712,ERX329713,ERX329714,ERX329715,ERX329716,ERX329717,ERX329718,ERX329719,SRX022390,SRX022391,SRX022392,SRX022393,SRX022394,SRX022395,SRX022396,SRX022397,SRX022398,SRX022399,SRX026054,SRX026069,SRX027298,SRX027299,SRX027300,SRX027307,SRX091575,SRX091576,SRX091577,SRX091578,SRX091579,SRX091580,SRX091581,SRX091582,SRX091583,SRX091584,SRX091585,SRX091586,SRX091587,SRX091588,SRX091589,SRX091590,SRX091591,SRX091592,SRX091593,SRX091594,SRX091595,SRX091596,SRX091597,SRX091598,SRX091599,SRX091600,SRX091601,SRX091602,SRX091603,SRX091604,SRX091605,SRX091606,SRX091607,SRX091608,SRX091609,SRX091610,SRX091611,SRX091612,SRX091613,SRX091614,SRX091615,SRX091616,SRX091617,SRX091618,SRX091619,SRX091620,SRX091621,SRX091622,SRX091623,SRX091624,SRX091625,SRX091626,SRX091627,SRX091628,SRX091629,SRX091630,SRX091631,SRX091632,SRX091633,SRX091634,SRX091635,SRX091636,SRX091637,SRX091638,SRX091639,SRX091640,SRX091641,SRX091642,SRX091643,SRX091644,SRX1027609,SRX1027610,SRX1027611,SRX1027612,SRX1027613,SRX1027614,SRX1027615,SRX1027616,SRX1027617,SRX1027618,SRX1027619,SRX106079,SRX106080,SRX106082,SRX106084,SRX106085,SRX106087,SRX144520,SRX144521,SRX144523,SRX144524,SRX144525,SRX144527,SRX1491920,SRX1491921,SRX1491922,SRX2245086,SRX2245087,SRX2245088,SRX2245089,SRX2245090,SRX2245091,SRX2245092,SRX256993,SRX256994,SRX256995,SRX256996,SRX256997,SRX256998,SRX256999,SRX257000,SRX2778364,SRX2778365,SRX2778366,SRX2778367,SRX2778368,SRX2778369,SRX2778370,SRX2778371,SRX2778372,SRX2778373,SRX2778374,SRX2778375,SRX2778376,SRX2778377,SRX2778378,SRX2778379,SRX2778380,SRX2778381,SRX2778382,SRX2778383,SRX2778384,SRX2778385,SRX2778386,SRX2778387,SRX2778388,SRX2778389,SRX2778390,SRX2778391,SRX2778392,SRX2778393,SRX2778394,SRX2778395,SRX2778396,SRX2778397,SRX2778398,SRX2778399,SRX2778400,SRX2778401,SRX306535,SRX306536,SRX306538,SRX306540,SRX306545,SRX306546,SRX306548,SRX306550,SRX306555,SRX306556,SRX306558,SRX306560,SRX306565,SRX306566,SRX306568,SRX306570,SRX306575,SRX306576,SRX306578,SRX306580,SRX356482,SRX356483,SRX356484,SRX356485,SRX356486,SRX356487,SRX356488,SRX356489,SRX356490,SRX356491,SRX356492,SRX356493,SRX356494,SRX356495,SRX356499,SRX356500,SRX356545,SRX356546,SRX356547,SRX356548,SRX356549,SRX356550,SRX356551,SRX356552,SRX356553,SRX356554,SRX356555,SRX356556,SRX356557,SRX356559,SRX356560,SRX356712,SRX356713,SRX356714,SRX356715,SRX356716,SRX356717,SRX356718,SRX356719,SRX356720,SRX356721,SRX356722,SRX356723,SRX356724,SRX356728,SRX356729,SRX356730,SRX356731,SRX356732,SRX356733,SRX356734,SRX356735,SRX356736,SRX356737,SRX356738,SRX356739,SRX356740,SRX356741,SRX356742,SRX356746,SRX356747,SRX356748,SRX356749,SRX356750,SRX356751,SRX356752,SRX356753,SRX356754,SRX356755,SRX356756,SRX356757,SRX356758,SRX356759,SRX356760,SRX356764,SRX356765,SRX356766,SRX356767,SRX356768,SRX356769,SRX356770,SRX356771,SRX356772,SRX356773,SRX356774,SRX356775,SRX356776,SRX356777,SRX356778,SRX356782,SRX356783,SRX469951,SRX469953,SRX469955,SRX472275,SRX472276,SRX472277,SRX627215,SRX627216,SRX627218,SRX627219,SRX627220,SRX627221,SRX627222,SRX627223,SRX627224,SRX627225,SRX627226,SRX627227,SRX627228,SRX627229,SRX627230,SRX627231,SRX627232,SRX627233,SRX627234,SRX627235,SRX627236,SRX627237,SRX627238,SRX627239,SRX627243,SRX627244,SRX627245,SRX627246,SRX627247,SRX627248,SRX627249,SRX627250,SRX627251,SRX627252,SRX627253,SRX627254,SRX627255,SRX627256,SRX627257,SRX627258,SRX627259,SRX627260,SRX627261,SRX627262,SRX627263,SRX627264,SRX627265,SRX627266,SRX627267,SRX627268,SRX627269,SRX627270,SRX627271,SRX627272,SRX627273,SRX627274,SRX627275,SRX627276,SRX651470,SRX651490,SRX651491,SRX651492,SRX651493,SRX651494,SRX651495,SRX651496,SRX651497,SRX651498,SRX651499,SRX651500,SRX651501,SRX651502,SRX673279,SRX764470,SRX764471,SRX764472,SRX764473,SRX764474,SRX764475,SRX764476,SRX764477,SRX764478,SRX764479,SRX764480,SRX764481,SRX764482,SRX764483,SRX764484,SRX764485,SRX764486,SRX764487,SRX764488,SRX764489,SRX764490,SRX764491,SRX764492,SRX764493,SRX764494,SRX764495,SRX764496,SRX764497,SRX764498,SRX764499,SRX764500,SRX764501,SRX764502,SRX764503,SRX764504,SRX764505,SRX764506,SRX764507,SRX764508,SRX764510,SRX764511,SRX764512,SRX764513,SRX764514,SRX764515,SRX764516,SRX764517,SRX764518,SRX764519,SRX764520,SRX764521,SRX764522,SRX764523,SRX764524,SRX764525,SRX764526,SRX764527,SRX764528,SRX764529,SRX764530,SRX764531,SRX764532,SRX764533,SRX764534,SRX764535,SRX764537,SRX764538,SRX764539,SRX764540,SRX764541,SRX764542,SRX764543,SRX764544,SRX764545,SRX764546,SRX764547,SRX764548,SRX764549,SRX764550,SRX764551,SRX764552,SRX764553,SRX764554,SRX764555,SRX764556,SRX764557,SRX764558,SRX764559,SRX764560,SRX764561,SRX764562,SRX764563,SRX764564,SRX764565,SRX764566,SRX764567,SRX764568,SRX764569,SRX764570,SRX764571,SRX764572,SRX764573,SRX764574,SRX764575,SRX764576,SRX764577,SRX764578,SRX764579,SRX764580,SRX764581,SRX764582,SRX764583,SRX764584,SRX764585,SRX764586,SRX764587,SRX764588,SRX764589,SRX764590,SRX764591,SRX764592,SRX764593,SRX764594,SRX764596,SRX764597,SRX764598,SRX764599,SRX764600,SRX764602,SRX764603,SRX764604,SRX764605,SRX764606,SRX764607,SRX764608,SRX764609,SRX764610,SRX764611,SRX764613,SRX764615,SRX764616,SRX764617,SRX764618,SRX764619,SRX764620,SRX764621,SRX764622,SRX764623,SRX764624,SRX764625,SRX764626,SRX764627,SRX764628,SRX764629,SRX764630,SRX764631,SRX764632,SRX764633,SRX764634,SRX764635,SRX764636,SRX764637,SRX764638,SRX764639,SRX764640,SRX764641,SRX764642,SRX764643,SRX764644,SRX764645,SRX764646,SRX764648,SRX764650,SRX764651,SRX764652,SRX764653,SRX764654,SRX764655,SRX764656,SRX764657,SRX764658,SRX764659,SRX764660,SRX764661,SRX764662,SRX764663,SRX764664,SRX764665,SRX764666,SRX764667,SRX764668,SRX764669,SRX764670,SRX764671,SRX764672,SRX764673,SRX764674,SRX764675,SRX764676,SRX764678,SRX764679,SRX764680,SRX764681,SRX764682,SRX764683,SRX764684,SRX764685,SRX764686,SRX764687,SRX764688,SRX764689,SRX764690,SRX764691,SRX764692,SRX764693,SRX764694,SRX764695,SRX764696,SRX764697,SRX764698,SRX764699,SRX764700,SRX764701,SRX764702"
hg19,Blood,Lymphoblastoid cells,56,"SRX017008,SRX017009,SRX017010,SRX017011,SRX017012,SRX017013,SRX017014,SRX017015,SRX017016,SRX017017,SRX017018,SRX017019,SRX017020,SRX017021,SRX017022,SRX017023,SRX017024,SRX017025,SRX017026,SRX017027,SRX017028,SRX017029,SRX017030,SRX017031,SRX017032,SRX017033,SRX106078,SRX106081,SRX106083,SRX106086,SRX151228,SRX151229,SRX151230,SRX1532489,SRX1532490,SRX1532491,SRX1532492,SRX1532498,SRX1532499,SRX1532500,SRX1532501,SRX1532506,SRX1532507,SRX1532508,SRX1532512,SRX1532513,SRX1532514,SRX1532515,SRX278504,SRX278505,SRX278506,SRX278507,SRX278508,SRX278509,SRX278510,SRX278511"
hg19,Blood,Lymphocytes,7,"SRX118079,SRX118080,SRX1224465,SRX1224466,SRX1224467,SRX1224468,SRX277081"
hg19,Blood,"Lymphoma, B-Cell",16,"SRX092414,SRX092415,SRX092416,SRX092417,SRX370340,SRX370341,SRX370342,SRX370343,SRX370344,SRX370345,SRX370346,SRX370347,SRX370348,SRX370349,SRX370350,SRX370351"
hg19,Blood,M-07e,10,"ERX1825292,ERX1825293,ERX1825294,ERX1825295,ERX1825296,ERX1825297,ERX1825298,ERX1825299,ERX1825300,ERX1825301"
hg19,Blood,M0-91,11,"SRX262143,SRX262144,SRX262145,SRX262146,SRX262147,SRX262148,SRX262149,SRX262150,SRX262151,SRX262152,SRX262153"
hg19,Blood,MD901,17,"SRX1665937,SRX1665938,SRX1665939,SRX1665940,SRX1665941,SRX1665942,SRX1665943,SRX1665944,SRX1665945,SRX1665946,SRX1665947,SRX1665948,SRX1665949,SRX1665950,SRX1665951,SRX1665952,SRX1665953"
hg19,Blood,ME-1,17,"SRX265218,SRX265219,SRX265220,SRX265221,SRX265222,SRX265223,SRX265224,SRX265225,SRX265226,SRX265227,SRX265228,SRX265229,SRX265230,SRX265231,SRX265232,SRX265233,SRX265234"
hg19,Blood,MEG-01,36,"ERX1103212,ERX1103215,ERX1103222,ERX1103225,ERX1126166,ERX1126169,ERX1126176,ERX1126179,ERX1126191,ERX1126194,ERX1126201,ERX1126204,ERX1126216,ERX1126219,ERX1126226,ERX1126229,ERX1126241,ERX1126244,ERX1126251,ERX1126254,ERX1149050,ERX1149060,ERX1149065,ERX1149075,ERX1149080,ERX1149090,ERX1149095,ERX1149105,ERX1149110,ERX1149120,ERX1276023,ERX1276024,ERX1276041,ERX1276042,ERX1276059,ERX1276060"
hg19,Blood,ML-2,12,"DRX001457,DRX001458,DRX001459,DRX001460,DRX001461,DRX001462,DRX001463,SRX1873461,SRX1873462,SRX1873463,SRX1873464,SRX212167"
hg19,Blood,MM.1S,103,"DRX059812,DRX059813,DRX059814,DRX059815,SRX203396,SRX204901,SRX204902,SRX204903,SRX204904,SRX204905,SRX204906,SRX204907,SRX204908,SRX2140207,SRX2140208,SRX2140209,SRX2140210,SRX2140211,SRX2140212,SRX2140213,SRX2140214,SRX2140215,SRX2140216,SRX219372,SRX219373,SRX219375,SRX219376,SRX219377,SRX219378,SRX219379,SRX2370670,SRX2370671,SRX244177,SRX244178,SRX244180,SRX2630171,SRX2630172,SRX2630187,SRX2630188,SRX2630215,SRX2630216,SRX2630396,SRX2630397,SRX2630398,SRX2635851,SRX2635852,SRX2635880,SRX2635881,SRX2635944,SRX2635945,SRX2635946,SRX2635947,SRX2635948,SRX2636052,SRX2636053,SRX2636189,SRX2636190,SRX2636202,SRX2636203,SRX2636204,SRX2636205,SRX2636275,SRX2636276,SRX2636421,SRX2636422,SRX264458,SRX264459,SRX264460,SRX264461,SRX264462,SRX264463,SRX264464,SRX3010004,SRX3010005,SRX327755,SRX327756,SRX327757,SRX327758,SRX327759,SRX327760,SRX366787,SRX366788,SRX366789,SRX366790,SRX366791,SRX366792,SRX366793,SRX366794,SRX366795,SRX366796,SRX368847,SRX368848,SRX368849,SRX368850,SRX447601,SRX447602,SRX447603,SRX758128,SRX758129,SRX758132,SRX758133,SRX758136,SRX758137"
hg19,Blood,MM1.RL,6,"SRX758130,SRX758131,SRX758134,SRX758135,SRX758138,SRX758139"
hg19,Blood,MO1043,11,"SRX2438580,SRX2438581,SRX2438582,SRX2438583,SRX2438584,SRX2438585,SRX2438586,SRX2438587,SRX2438588,SRX2438589,SRX2438590"
hg19,Blood,MOLM-1,9,"ERX378357,ERX378358,ERX378359,ERX378360,ERX378361,ERX378362,ERX378363,ERX378364,ERX378366"
hg19,Blood,MOLM-13,36,"SRX1735799,SRX1735800,SRX1735801,SRX1735802,SRX1735803,SRX1735804,SRX1735805,SRX1735806,SRX1735807,SRX1735808,SRX1735809,SRX212168,SRX2266663,SRX2266664,SRX2266666,SRX2266669,SRX2545997,SRX2545998,SRX2545999,SRX2546000,SRX2546001,SRX2546002,SRX2546003,SRX2546004,SRX2546005,SRX2546006,SRX2546007,SRX2546008,SRX2546009,SRX2546010,SRX2546011,SRX2546012,SRX2546013,SRX2546014,SRX982491,SRX982492"
hg19,Blood,MOLM-14,19,"SRX1527574,SRX1527575,SRX849368,SRX849369,SRX849370,SRX849371,SRX849372,SRX849373,SRX849374,SRX849375,SRX849376,SRX849377,SRX849378,SRX849379,SRX849380,SRX849387,SRX849388,SRX849391,SRX849392"
hg19,Blood,MOLT-4,2,"SRX1528530,SRX2166006"
hg19,Blood,MR4,4,"SRX014775,SRX014776,SRX014777,SRX014778"
hg19,Blood,MS1,20,"SRX356784,SRX356785,SRX356786,SRX356787,SRX356788,SRX356789,SRX356790,SRX356791,SRX356792,SRX356793,SRX356794,SRX356795,SRX356796,SRX356797,SRX356798,SRX356799,SRX356800,SRX356801,SRX356805,SRX356806"
hg19,Blood,MS4221,2,"SRX246078,SRX246081"
hg19,Blood,MUTZ-3,5,"ERX378355,ERX378365,ERX378367,SRX1527578,SRX1527579"
hg19,Blood,MV-4-11,109,"SRX1134739,SRX1134740,SRX1134741,SRX1134742,SRX1134743,SRX1134744,SRX1134745,SRX1134746,SRX1134747,SRX1134748,SRX1134749,SRX1134750,SRX1134751,SRX1134752,SRX1134763,SRX1134764,SRX1134765,SRX1134766,SRX1134767,SRX1134768,SRX1134769,SRX1134770,SRX1134771,SRX1293531,SRX1293532,SRX1293533,SRX1293534,SRX1293535,SRX1293536,SRX1293537,SRX1293538,SRX1528531,SRX1678059,SRX1678060,SRX1678061,SRX1678062,SRX1678063,SRX1678065,SRX1735812,SRX1735813,SRX1735814,SRX1735815,SRX1743598,SRX1743599,SRX1873469,SRX1873470,SRX2245495,SRX2245496,SRX2245497,SRX2245498,SRX2245499,SRX2245500,SRX2245501,SRX2245530,SRX2245531,SRX2245532,SRX2245533,SRX2245534,SRX2245544,SRX2245545,SRX2245546,SRX2266665,SRX2266667,SRX2266668,SRX264456,SRX264457,SRX2705415,SRX2705416,SRX2705417,SRX2705418,SRX2705440,SRX2705441,SRX2705442,SRX2705443,SRX2705450,SRX2705451,SRX2705452,SRX2705453,SRX2705454,SRX2705455,SRX2705474,SRX2705475,SRX2705476,SRX2705477,SRX2705478,SRX669631,SRX669632,SRX669633,SRX669634,SRX669635,SRX669636,SRX669637,SRX669638,SRX709038,SRX709039,SRX709040,SRX709041,SRX710476,SRX710477,SRX710478,SRX710479,SRX710480,SRX710481,SRX710482,SRX710483,SRX849399,SRX849400,SRX849401,SRX849402"
hg19,Blood,Macrophages,175,"ERX645717,ERX645718,ERX645720,ERX645722,ERX645726,ERX645729,SRX093185,SRX093186,SRX093187,SRX093188,SRX093189,SRX093190,SRX093191,SRX093192,SRX1023790,SRX1023791,SRX1023792,SRX1023793,SRX1023794,SRX1023795,SRX1023796,SRX1023797,SRX1642031,SRX1642032,SRX1642033,SRX1642034,SRX212319,SRX212351,SRX212352,SRX212353,SRX212354,SRX212355,SRX212356,SRX212357,SRX212358,SRX212359,SRX212360,SRX212361,SRX212362,SRX212363,SRX212364,SRX212365,SRX212366,SRX2164054,SRX2164055,SRX2164056,SRX2164057,SRX2164058,SRX2164059,SRX2770844,SRX2770845,SRX2770846,SRX2770847,SRX2770848,SRX2770849,SRX2770850,SRX2770851,SRX2770852,SRX2770853,SRX2770854,SRX2770855,SRX2770856,SRX2770857,SRX2770858,SRX2770859,SRX2770860,SRX286014,SRX286015,SRX286016,SRX286017,SRX286018,SRX286019,SRX286020,SRX286021,SRX2947647,SRX2947648,SRX2947649,SRX2947650,SRX2947651,SRX2947652,SRX2947653,SRX2947654,SRX2947655,SRX2947656,SRX2947657,SRX2947658,SRX2947659,SRX2947660,SRX2947661,SRX2947662,SRX2947663,SRX2947664,SRX2947665,SRX2947666,SRX2947667,SRX2947668,SRX2947669,SRX2947670,SRX2947671,SRX2947672,SRX2947673,SRX2947674,SRX2947675,SRX2947676,SRX2947677,SRX2947678,SRX2947679,SRX2947680,SRX2947681,SRX2947682,SRX3244991,SRX3244992,SRX3244993,SRX470215,SRX470216,SRX470217,SRX470218,SRX470219,SRX470220,SRX470221,SRX470222,SRX470223,SRX470224,SRX470225,SRX581547,SRX581548,SRX581549,SRX581550,SRX581551,SRX581552,SRX581553,SRX581554,SRX581555,SRX581576,SRX581577,SRX581578,SRX581579,SRX581580,SRX581581,SRX581582,SRX581583,SRX581584,SRX581585,SRX581588,SRX581589,SRX581590,SRX581593,SRX581594,SRX581595,SRX716944,SRX716945,SRX885891,SRX885892,SRX885893,SRX885894,SRX885895,SRX885896,SRX885897,SRX885898,SRX903246,SRX903247,SRX903248,SRX903249,SRX903250,SRX903251,SRX903252,SRX903253,SRX903254,SRX903255,SRX903256,SRX903257,SRX903258,SRX903259,SRX903260,SRX903261"
hg19,Blood,Memory T cells,6,"SRX1920484,SRX1920485,SRX1920486,SRX1920487,SRX1920488,SRX1920489"
hg19,Blood,Memory Th1 cells,2,"SRX1460827,SRX1460828"
hg19,Blood,Mino,1,SRX1048474
